CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
29.59,8.0%,812.66,78.32,Chili with Beans,0,3.61,3.95,11.05,1.34,.31,10.0%,303.42,4.45,227,22.0%,28.000000000000004%,16.87,10.76,1.76,32.6,.08,45.25,4.0%,6.89,MRE32,133.8,60.53,34.0%,769.53,26.0%,22.0%,3.63,17.0%,MENU 1,.36,20.96,.75,11.0%,2.27,1285.13,3.7,Entree
26.54,3.0%,104.92,27.95,"Ranger Bar>Banana Nut",0,.12,.82,10.75,2.17,.06,9.0%,214.14,2.61,43,13.0%,4.0%,4.3,.04,.02,7.83,.11,22.79,0.0%,.9,MRE32,72.24,16.34,4.0%,67.08,0.0%,5.0%,1.13,17.0%,MENU 1,.09,2.84,1.7,3.0%,.19,0,.37,"MRE 32>Ranger Bar"
27.78,3.0%,95.46,29.2,"Ranger Bar>Caramel Apple",0,.2,1.61,9.03,.92,.1,9.0%,197.37,2.58,43,13.0%,4.0%,2.84,1.3,.27,10.5,.14,61.42,1.0%,.99,MRE32,44.82,11.35,4.0%,61.06,1.0%,9.0%,1.26,14.000000000000002%,MENU 1,.16,2.11,2.38,4.0%,.43,60.2,.29,"MRE 32>Ranger Bar"
27.05,3.0%,73.53,34.79,"Ranger Bar>Chocolate Covered Chocolate Chip",0,.2,1.97,10.75,.43,.05,9.0%,210.27,5.07,43,25.0%,6.0%,6.67,1.3,.13,10.5,.09,15.27,1.0%,1.41,MRE32,81.7,25.93,3.0%,115.24,0.0%,11.0%,.82,17.0%,MENU 1,.09,2.64,1.58,4.0%,.43,0,.46,"MRE 32>Ranger Bar"
29.03,3.0%,89.01,33.15,"Ranger Bar>Cran-apple",0,,.87,7.61,.56,.02,10.0%,190.49,1.66,43,8.0%,5.0%,8.94,,.16,10,.1,14.58,30.0%,1.31,MRE32,70.09,13.72,4.0%,61.06,0.0%,5.0%,1.05,12.0%,MENU 1,.09,2.27,1.98,3.0%,17.72,0,.27,"MRE 32>Ranger Bar"
27.6,3.0%,90.73,31.27,"Group Average - MRE 32>Ranger Bar",0,.16,1.32,9.54,1.02,.06,9.0%,203.07,2.98,43,15.0%,5.0%,5.69,.67,.14,9.58,.11,28.51,8.0%,1.15,MRE32,67.21,16.83,4.0%,76.11,0.0%,7.000000000000001%,1.07,15.0%,MENU 1,.11,2.46,1.91,3.0%,4.69,15.05,.35,"MRE 32>Ranger Bar"
27.54,22.0%,169.99,222.94,"Crackers>Plain",0,,2.12,5.74,.53,.36,9.0%,174.68,1.23,38.6,6.0%,10.0%,2.33,,.05,0,.37,62.32,2.0%,2.59,MRE32,44.15,10.47,7.000000000000001%,61.52,0.0%,12.0%,2.81,9.0%,MENU 1,.37,3.41,1.73,0.0%,1.04,11.1,.36,Bread/Crax
38.7,4.0%,411.8,40.68,Cornbread,0,0,1.27,10.08,.93,.02,13.0%,259.86,1.92,71,10.0%,6.0%,9.3,0,.6,9.02,.13,34.22,1.0%,1.45,MRE32,161.88,10.86,17.0%,62.27,0.0%,7.000000000000001%,1.8,16.0%,MENU 1,.18,3.51,1.09,3.0%,.71,0,.26,Bread/Crax
4.41,16.0%,607.05,160.77,"Cheese Spread>Cheddar with Jalapeno Peppers and Vitamin D",0,0,.09,16.61,1.24,.79,1.0%,160.51,8.48,42.75,42.0%,1.0%,6.37,0,.1,45,.67,4.07,0.0%,.37,MRE32,268.28,6.54,25.0%,29.6,62.0%,1.0%,.04,26.0%,MENU 1,.12,5.22,.74,15.0%,.22,3101.85,.89,Spread
1.13,0.0%,.6,2.97,"Red Pepper>Ground",0,,.16,.35,.1,.04,0.0%,6.36,,2,,,.18,,0,0,.01,2.12,3.0%,,MRE32,5.87,3.04,0.0%,40.28, ,1.0%,.17,1.0%,MENU 1,.02,.24,,0.0%,1.59,,.05,Condiment
33,0.0%,10,0,"Beverage Base>Carbohydrate Fortified>Formulation D",0,,,0,0,0,11.0%,130,,34,,,,,0,0,0,0,75.0%,,MRE32,,0,0.0%,, ,,0,0.0%,MENU 1,0,0,,0.0%,45,,0,Beverage
2,,,,"Chewing Gum>Xylitol",0,,,,,,1.0%,,,3.2,,,,,,,,,,,MRE32,,,,,,,,,MENU 1,,,,,,,,"MRE 32>Accessory Packet A"
1.09,0.0%,2.35,3.42,"Coffee>Soluble>Freeze Dried",0,,.05,.01,.01,0,0.0%,5.8,0,1.7,0.0%,2.0%,.05,,0,0,0,.12,0.0%,.38,MRE32,5.46,6.46,0.0%,57.46,0.0%,0.0%,.69,0.0%,MENU 1,.01,.36,0,0.0%,.02,0,.01,"MRE 32>Accessory Packet A"
2.08,0.0%,8.5,.5,"Creamer>Non-Dairy>Dry",0,,.02,1.46,0,0,1.0%,21,0,4,0.0%,0.0%,,,0,0,0,0,0.0%,0,MRE32,18,0,0.0%,41,0.0%,0.0%,0,2.0%,MENU 1,0,.1,.5,0.0%,0,0,0,"MRE 32>Accessory Packet A"
4,0.0%,0,0,Sugar,0,,0,0,0,0,1.0%,15,,4,,,,,,0,0,0,0.0%,,MRE32,0,0,0.0%,0,,0.0%,0,0.0%,MENU 1,0,0,,0.0%,0,,0,"MRE 32>Accessory Packet A"
2.27,0.0%,4.12,1.14,"Group Average - MRE 32>Accessory Packet A",0,0,.02,.5,0,0,1.0%,13.6,0,3.23,0.0%,1.0%,.05,0,0,0,0,.06,0.0%,.19,MRE32,2.73,3.23,0.0%,28.73,0.0%,0.0%,.35,1.0%,MENU 1,0,.12,.25,0.0%,.01,0,0,"MRE 32>Accessory Packet A"
164.24,0,2106.95,538.09,,0,3.77,8.93,53.87,5.16,1.58,0,1251.5,19.06,461.58,0,0,40.79,11.43,2.65,96.2,1.37,176.55,0,12.64,MRE32,683.92,111.5,0,1068.04,0,0,9.87,0,MENU 1,1.16,35.92,6.47,0,55.53,4413.13,5.61,Total
13.62,4.0%,873.19,37.61,Chicken Fajita,0,1.25,1.43,4.16,1.43,.51,5.0%,182.13,1.22,227,6.0%,9.0%,16.65,.26,.38,57.34,.05,24.89,10.0%,2.32,MRE32,304.94,35.87,36.0%,443.41,11.0%,8.0%,10.58,6.0%,MENU 2,.27,22.7,.05,19.0%,6.05,529.5,.92,Entree
26.08,6.0%,564.69,55.24,Refried Beans,0,.35,2.29,3.55,.33,.14,9.0%,168.03,1.08,142,5.0%,30.0%,12.16,.3,.19,3.73,.04,31.62,2.0%,7.55,MRE32,166.14,62.01,24.0%,483.27,1.0%,13.0%,.58,5.0%,MENU 2,.09,7.85,.29,1.0%,1.42,38.33,1.03,Side
46.67,3.0%,119.85,29.33,Fudge Brownie with Chocolate Drops,0,,4.6,18.7,1.24,.03,16.0%,374.85,5.3,85,27.0%,12.0%,7.48,,.11,41.03,.09,21.59,1.0%,2.98,MRE32,107.1,55.25,5.0%,197.2,0.0%,26.0%,.87,28.999999999999996%,MENU 2,.18,4.93,4.22,14.000000000000002%,.85,0,.88,Snack
