CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
6.25,1.0%,24.7,8.08,"Nuts>Cashews>Jalapeno",0,,1.03,7.71,.16,.06,2.0%,113.43,1.67,19,8.0%,6.0%,1.5,,.02,0,.06,9.01,0.0%,1.45,MRE33,91.77,45.79,1.0%,115.9,0.0%,6.0%,.23,12.0%,MENU Groups,.06,3.8,.02,0.0%,.19,0,.89,"MRE 33>Nuts"
6.41,2.0%,101.64,17.14,"Nuts>Peanuts>Dry Roasted",0,,.5,13.94,1.17,.15,2.0%,171.08,1.6,28,8.0%,10.0%,15.79,5.32,.03,0,.04,16.3,0.0%,2.56,MRE33,114.8,57.4,4.0%,173.04,0.0%,3.0%,4.28,21.0%,MENU Groups,.04,7.2,0,0.0%,.28,0,.73,"MRE 33>Nuts"
5.33,3.0%,47.07,27.85,"Group Average - MRE 33>Nuts",0,0,.73,10.71,1.83,.07,2.0%,134.99,1.38,22,7.000000000000001%,8.0%,5.95,.38,.03,0,.04,10.37,0.0%,1.91,MRE33,101.41,52,2.0%,136.53,0.0%,4.0%,1.69,16.0%,MENU Groups,.11,5.28,.01,0.0%,.22,0,.72,"MRE 33>Nuts"
35.14,10.0%,426.36,102,"Group Average - MRE 33>Filled Pretzels",0,0,.42,8.36,.62,.06,12.0%,232.56,4.69,51,23.0%,4.0%,7.85,0,.3,1.25,.04,8.21,1.0%,1.06,MRE33,196.35,17.9,18.0%,207.57,0.0%,2.0%,.66,13.0%,MENU Groups,.21,4.79,.05,0.0%,.51,0,.43,"MRE 33>Filled Pretzels"
52.17,7.000000000000001%,301.74,67.4,"Filled Bakery>Apple Turnover",0,0,2.04,7.14,.5,.06,17.0%,294.22,2.38,94,12.0%,12.0%,10.81,0,.23,0,.22,57.25,47.0%,2.96,MRE33,55.84,16.54,13.0%,129.72,0.0%,11.0%,2.38,11.0%,MENU Groups,.25,4.95,1.71,0.0%,28.01,0,.55,"MRE 33>Filled Bakery"
57.8,9.0%,397,89,"Filled Bakery>Cinnamon Bun",0,0,2.25,9.6,.5,.05,19.0%,319,2.32,100,12.0%,10.0%,14.7,1.01,.12,.98,.27,96.5,6.0%,2.43,MRE33,70.9,16.3,17.0%,104,0.0%,13.0%,3.7,15.0%,MENU Groups,.28,6.33,1.6,0.0%,3.8,0,.82,"MRE 33>Filled Bakery"
54.99,8.0%,349.37,78.2,"Group Average - MRE 33>Filled Bakery",0,0,2.14,8.37,.5,.06,18.0%,306.61,2.35,97,12.0%,11.0%,12.76,.51,.17,.49,.24,76.87,27.0%,2.7,MRE33,63.37,16.42,15.0%,116.86,0.0%,12.0%,3.04,13.0%,MENU Groups,.27,5.64,1.66,0.0%,15.91,0,.69,"MRE 33>Filled Bakery"
35.75,2.0%,202.43,16.79,"Group Average - MRE 33>Toaster Pastry",0,0,2.09,6.12,1.18,.39,12.0%,206.31,1.89,51.5,9.0%,4.0%,2.83,0,.08,0,.16,29.78,1.0%,.92,MRE33,55.78,9.46,8.0%,79.71,12.0%,12.0%,2.65,9.0%,MENU Groups,.29,2.6,.35,0.0%,.52,594.65,.29,"MRE 33>Toaster Pastry"
32.43,17.0%,369.36,172.71,"Snack Bread>Wheat",0,,1.98,6.21,.26,.05,11.0%,201.78,1.53,57,8.0%,7.000000000000001%,19.67,,.07,0,.25,58.14,1.0%,1.82,MRE33,148.2,18.87,15.0%,80.94,0.0%,11.0%,2.6,10.0%,MENU Groups,.2,4.73,1.57,0.0%,.57,0,.43,"MRE 33>Snack Breads"
32.21,19.0%,363.09,193.8,"Snack Bread>White Whole Wheat",0,0,.8,5.77,.56,.04,11.0%,197.22,1.63,57,8.0%,5.0%,0,,0,0,.16,15.16,0.0%,1.14,MRE33,1.8,.93,15.0%,12.78,0.0%,4.0%,1.24,9.0%,MENU Groups,.07,3.72,1.44,0.0%,0,0,.08,"MRE 33>Snack Breads"
