CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
37.31,.07,687.28,68.99,"Sandwich>Shelf Stable>Bacon Cheddar",0,2.24,14.52,.5,.12,.12,327.36,4.95,88,.25,.07,18.74,.18,20,.29,82.37,.01,1.86,FSR2012,129.36,23.23,.29,177.76,0,.12,5.27,.22,MENU 1,.33,12.14,2.13,.07,.88,0,1.37,Entree
25.27,.05,571.9,47.95,"Sandwich>Shelf Stable>Pepperoni",0,1.42,14.63,.49,.11,.08,265.3,4.84,70,.24,.05,16.66,.25,20,.19,48.93,.01,1.18,FSR2012,91,17.08,.24,135.1,.03,.08,3.12,.23,MENU 1,.21,9.66,1.32,.07,.7,128.3,1.13,Entree
22.26,.01,403.2,8.6,"Pretzels>Sticks",0,1.22,.39,.05,.02,.07,103.88,.1,28,.01,.04,1.43,.03,0,.11,22.79,0,.96,FSR2012,34.44,7.64,.17,50.12,0,.07,1.57,.01,MENU 1,.15,2.8,0,0,.28,0,.28,Snack
16.12,.08,37.08,77.6,"Dessert Bar>Peanut Butter",0,.22,17.16,1.62,.05,.05,231.6,6.08,40,.3,.34,3.08,.22,20.24,.02,13.16,.01,8.52,FSR2012,138.8,31.76,.02,242.8,.04,.01,2.59,.26,MENU 1,.16,6.76,1.47,.07,.4,185.9,.75,Snack
5.51,.02,608.4,15.21,"Beef Snacks>Teriyaki",0,1.23,2.94,.26,.06,.02,78.26,1.33,26,.07,.02,6.94,1.54,20,.03,5.82,0,.54,FSR2012,72.28,12.58,.25,167.44,.01,.07,1.37,.05,MENU 1,.15,7.8,.13,.07,.26,26.9,1.31,Snack
4.91,.01,564.2,13.7,"Beef Snacks>Barbecue",0,1.16,2.78,.33,.05,.02,76.7,1.17,26,.06,.03,6.37,1.53,20,.03,5.36,0,.72,FSR2012,73.06,12.4,.24,173.94,.03,.06,1.38,.04,MENU 1,.15,8.61,.13,.07,.26,131.2,1.29,Snack
52.27,.06,305.91,60.89,"Filled Bakery>Filled French Toast",0,2.53,10.1,.62,.06,.17,322.74,3.55,99,.18,.08,16.14,.12,0,.27,67.72,.02,2,FSR2012,58.91,16.04,.13,76.13,0,.14,2.83,.16,MENU 1,.28,6.83,1.83,0,.99,0,.7,Snack
18.42,.04,5.6,43.12,"Nut and Fruit Mix>Sunflower Kernels and Infused Fruit",0,1.07,21.17,3.65,.31,.06,314.72,3.18,56,.16,.42,4.65,.07,0,.08,47.66,.01,10.58,FSR2012,190.96,91.84,0,339.92,0,.06,5.88,.33,MENU 1,.09,12.6,.03,0,.56,0,1.57,Snack
24.26,.02,18.1,21.39,"First Strike Bar>Mini>Chocolate",0,1.7,5.08,8.56,.31,.08,149.8,1.66,35,.08,.05,1.05,1.02,2.67,.27,135.8,.22,1.26,FSR2012,13.39,21.56,.01,111.3,.01,.09,2.98,.08,MENU 1,.32,2.03,1.01,.01,13.16,43.9,1.83,Snack
32.43,.17,369.36,172.71,"Snack Bread>Wheat",0,1.98,6.21,.26,.05,.11,201.78,1.53,57,.08,.07,19.67,.07,0,.25,58.14,.01,1.82,FSR2012,148.2,18.87,.15,80.94,0,.11,2.6,.1,MENU 1,.2,4.73,1.57,0,.57,0,.43,Bread/Crax
4.41,.16,607.05,160.77,"Cheese Spread>Cheddar with Jalapeno Peppers and Vitamin D",0,.09,16.61,1.24,.79,.01,160.51,8.48,42.75,.42,.01,6.37,.1,45,.67,4.07,0,.37,FSR2012,268.28,6.54,.25,29.6,.62,.01,.04,.26,MENU 1,.12,5.22,.74,.15,.22,3101.85,.89,Spread
10,,,,"Caffeinated Gum>Cinnamon",0,,,,,.03,50,,12.5,,,,,,,,,,FSR2012,,,,, ,,,,MENU 1,,,,,,,,Candy
50.52,.27,230.3,270.9,Chocolate Protein Drink,0,12.32,1.69,,.88,.17,271.6,1,70,.05,.21,,,5.6,.58,,.43,5.18,FSR2012,,,.1,,.29,.68,11.76,.03,MENU 1,.64,13.59,.02,.02,25.69,1428,,Beverage
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2012,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 1,.01,.28,0,0,37.08,0,.04,Beverage
31.46,.01,12.5,13.75,"Fruits>Wet Pack>Applesauce>Carbohydrate Enhanced>Cinnamon",0,0,.08,,,.1,127.5,.03,125,0,.09,,,0,,,.02,2.13,FSR2012,,,.01,,0,0,,0,MENU 1,,.19,0,0,1.12,0,,Fruit
2,,,,"Chewing Gum>Xylitol",0,,,,,.01,,,3.2,,,,,,,,,,FSR2012,,,,, ,,,,MENU 1,,,,,,,,Accessory Pkt
379.69,0,4508.77,982.4,,0,27.3,113.41,17.79,2.81,0,2852.83,37.9,825.45,0,0,102.51,5.19,153.51,2.8,494.64,0,37.59,FSR2012,1221.55,261.93,0,1589.75,0,0,41.4,0,MENU 1,2.81,93.24,10.38,0,82.17,5046.05,11.59,Total
38.9,.09,727,88.4,"Sandwich>Shelf Stable>Italian Style",0,2.14,13.8,1.06,.14,.13,319,4.25,100,.21,.08,20.4,.2,15,.21,51.9,.02,2.11,FSR2012,121,26.3,.3,244,.01,.12,3.51,.21,MENU 2,.23,11.3,1.91,.05,1,59,1.35,Entree
1.96,.01,740.88,9.9,"Chicken Chunks>White",0,.69,1.81,1.12,.33,.01,192.67,.51,196,.03,.08,40.96,.24,87.5,.03,42.73,.03,1.96,FSR2012,631.12,49.98,.31,591.92,0,.04,22.74,.03,MENU 2,.29,42.92,.01,.29,1.96,0,1.35,Entree
35.31,.01,164.09,12.73,"Toaster Pastry>Frosted Brown Sugar Cinnamon",0,1.88,6.06,1.14,.31,.12,204.09,1.72,51,.09,.04,2.76,.06,0,.17,40.06,.01,.94,FSR2012,38.75,6.55,.07,48.65,.11,.1,2.39,.09,MENU 2,.25,2.45,.66,0,.51,536.7,.23,Snack
21.6,.06,23.52,58,"Dessert Bar>Mocha",0,1.17,14.36,1.1,.02,.07,225.2,7.08,40,.35,.29,2.24,.24,20.44,.02,4,.01,7.36,FSR2012,98.8,24.96,.01,264.8,.04,.06,.29,.22,MENU 2,.09,2.76,1.5,.07,.4,220.2,.56,Snack
25.55,.01,37.8,14.84,"First Strike Bar>Mini>Apple-Cinnamon",0,.36,4.83,8.46,.49,.09,150.15,1.04,35,.05,.05,1.05,1.02,,.21,132.65,.28,1.16,FSR2012,,11.31,.02,63.35,.01,.02,2.77,.07,MENU 2,.31,1.93,1.04,,16.63,42.8,1.53,Snack
4.91,.01,564.2,13.7,"Beef Snacks>Barbecue",0,1.16,2.78,.33,.05,.02,76.7,1.17,26,.06,.03,6.37,1.53,20,.03,5.36,0,.72,FSR2012,73.06,12.4,.24,173.94,.03,.06,1.38,.04,MENU 2,.15,8.61,.13,.07,.26,131.2,1.29,Snack
5.51,.02,608.4,15.21,"Beef Snacks>Teriyaki",0,1.23,2.94,.26,.06,.02,78.26,1.33,26,.07,.02,6.94,1.54,20,.03,5.82,0,.54,FSR2012,72.28,12.58,.25,167.44,.01,.07,1.37,.05,MENU 2,.15,7.8,.13,.07,.26,26.9,1.31,Snack
3.33,.06,14.86,58.33,"Nuts>Almonds>Smoked",0,.66,10.47,4.16,.01,.01,120.46,.86,19,.04,.07,.57,.02,0,.02,5.8,0,1.71,FSR2012,97.66,52.82,.01,120.65,0,.04,.56,.16,MENU 2,.24,4.85,.01,0,.19,0,.55,Snack
33.05,.06,431.52,56.23,Tortillas,0,2.06,8.06,.52,.02,.11,222.58,2.22,62,.11,.04,9.92,.11,0,.24,60.7,.01,1.05,FSR2012,155,12.15,.18,93.62,0,.11,2.93,.12,MENU 2,.2,4.9,2.16,0,.62,0,.31,Bread/Crax
27.54,.22,169.99,222.94,"Crackers>Plain",0,2.12,5.74,.53,.36,.09,174.68,1.23,38.6,.06,.1,2.33,.05,0,.37,62.32,.02,2.59,FSR2012,44.15,10.47,.07,61.52,0,.12,2.81,.09,MENU 2,.37,3.41,1.73,0,1.04,11.1,.36,Bread/Crax
10.8,.02,207.83,21.12,"Peanut Butter>Smooth",0,.78,20.4,3.94,1.82,.04,266.05,4.42,42.5,.22,.1,2,.05,0,.71,28.56,.74,2.5,FSR2012,158.1,73.1,.09,282.2,.55,.04,5.48,.31,MENU 2,.08,9.59,.02,0,44.63,2749.8,1.35,Spread
10,,,,"Caffeinated Gum>Cinnamon",0,,,,,.03,50,,12.5,,,,,,,,,,FSR2012,,,,, ,,,,MENU 2,,,,,,,,Candy
10,,,,"Caffeinated Gum>Peppermint",0,,,,,.03,50,,15,,,,,,,,,,FSR2012,,,,, ,,,,MENU 2,,,,,,,,Candy
11.94,.01,207.52,5.76,Barbecue Sauce,0,.12,.06,.44,.03,.04,49.33,.01,28.35,0,.01,.85,.03,0,0,1.7,0,.29,FSR2012,7.4,3.8,.09,71.44,.03,.01,.29,0,MENU 2,.02,.38,0,0,.28,165.8,.06,Condiment
.04,0,22.6,.6,"Hot Sauce>Extra Hot 4x",0,.06,.02,0,.01,0,0,,4,,,,0,0,0,0,0,,FSR2012,.68,.4,.01,4.12, ,0,.01,0,MENU 2,0,.03,,0,0,,0,Condiment
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2012,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 2,.01,.28,0,0,37.08,0,.04,Beverage
