CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2012,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 2,.01,.28,0,0,37.08,0,.04,Beverage
35.58,.01,15.23,6.37,"Fruits>Wet Pack>Applesauce>Carbohydrate Enhanced",0,.16,.13,.58,.06,.12,143.36,.01,128,0,.06,3.84,.15,0,.04,7.68,4.07,1.56,FSR2012,10.14,4.01,.01,84.61,0,.01,.08,0,MENU 2,.03,.26,.01,0,244.48,0,.07,Fruit
46.98,.01,21,7.9,"Dried Fruit>Cranberries",0,.15,.45,.78,.01,.16,191.52,.03,56,0,.1,1.68,.07,0,.01,3.36,.01,2.55,FSR2012,4.08,3.16,.01,31.42,0,.01,.07,.01,MENU 2,.01,.34,0,0,.56,0,.06,Fruit
2.75,.01,23.55,9.57,"Beverage Base>Sugar Free",0,.02,.02,.02,0,.01,11.3,0,3.2,0,0,.1,0,0,0,.19,0,.03,FSR2012,4.7,.15,.01,64,0,0,0,0,MENU 2,0,.07,0,0,.04,0,.01,FSR 2012 Accessory Packet B
2,,,,"Chewing Gum>Xylitol",0,,,,,.01,,,3.2,,,,,,,,,,FSR2012,,,,,,,,,MENU 2,,,,,,,,FSR 2012 Accessory Packet B
0,0,1550.32,0,"Salt>Iodized",0,.01,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,FSR2012,0,.04,.65,.32,,0,0,0,MENU 2,0,0,,0,0,,0,FSR 2012 Accessory Packet B
1.58,0,786.94,4.78,Group Average - FSR 2012 Accessory Packet B,0,.01,.01,.02,0,.01,5.65,0,3.47,0,0,.05,0,0,0,.1,0,.02,FSR2012,2.35,.09,.33,32.16,0,0,0,0,MENU 2,0,.04,0,0,.02,0,0,FSR 2012 Accessory Packet B
409.66,0,4919.16,610.45,,0,14.99,92.02,24.86,3.72,0,2861.86,25.88,977.42,0,0,104.78,5.43,162.94,2.11,458.38,0,28,FSR2012,1520.31,308.86,0,2345.24,0,0,46.7,0,MENU 2,2.44,102.13,9.31,0,387,3943.5,10.46,Total
41.3,.08,666,77.2,"Sandwich>Shelf Stable>Honey Barbecue Beef",0,2.36,8.9,.95,.17,.14,285,2.55,100,.13,.1,21.6,.43,40,.21,62.6,.02,2.4,FSR2012,134,29.1,.28,257,.03,.13,4.6,.14,MENU 3,.28,11.3,1.71,.13,1,144.2,1.57,Entree
3.2,.02,465.92,16.51,"Tuna>Chunk Light>Lemon Pepper",0,1.25,.9,.64,.77,.01,136.96,.21,128,.01,.05,105.34,4.77,58.42,.04,7.68,.26,1.28,FSR2012,263.68,41.73,.19,392.96,0,.07,20.99,.01,MENU 3,.13,29.44,.01,.19,15.87,0,1.01,Entree
38.85,.06,235.2,64.89,"Pound Cake>Lemon Poppy Seed",0,1.58,15.68,1.16,.03,.13,298.9,3.02,70,.15,.08,3.92,.14,41.07,.15,33.53,.01,2,FSR2012,101.5,13.09,.1,91,.17,.09,1.73,.24,MENU 3,.28,3.5,1.9,.14,.7,842.3,.36,Snack
17.52,.08,48.8,79.2,"Dessert Bar>Chocolate Banana Nut",0,.97,17.88,1.24,.07,.06,236.8,7.24,40,.36,.33,3.52,.32,23.97,.02,7.12,.01,8.36,FSR2012,138.4,26.8,.02,286.8,.05,.05,.2,.28,MENU 3,.17,3.76,1.36,.08,.4,226.4,.61,Snack
24.94,.02,26.2,21,"First Strike Bar>Mini>Mocha",0,.75,5.06,7.17,.45,.08,150.15,1.99,35,.1,.07,1.17,.83,5.34,.25,103.95,.14,1.67,FSR2012,36.75,15.26,.01,81.03,0,.04,4.01,.08,MENU 3,.41,1.72,.81,.02,8.12,9.15,1.72,Snack
42.12,.03,205.2,27.7,"Toasted Corn Kernels>Plain",0,.86,8.21,1.3,.13,.14,259.92,.76,57,.04,.17,4.62,.07,0,.02,5.24,.01,4.14,FSR2012,102.03,39.73,.09,58.14,0,.05,1.16,.13,MENU 3,.04,4.25,.02,0,.57,0,.93,Snack
18.42,.04,5.6,43.12,"Nut and Fruit Mix>Sunflower Kernels and Infused Fruit",0,1.07,21.17,3.65,.31,.06,314.72,3.18,56,.16,.42,4.65,.07,0,.08,47.66,.01,10.58,FSR2012,190.96,91.84,0,339.92,0,.06,5.88,.33,MENU 3,.09,12.6,.03,0,.56,0,1.57,Snack
26.99,.01,47.43,10.92,"First Strike Bar>Mini>Cran-Raspberry",0,.34,2.54,6.89,.48,.09,135.98,.64,35,.03,.08,1.63,.76,3.91,.22,109.03,.31,1.9,FSR2012,36.86,14.89,.02,70.88,0,.02,3.8,.04,MENU 3,.4,1.44,.62,.01,18.46,0,2,Snack
33.05,.06,431.52,56.23,Tortillas,0,2.06,8.06,.52,.02,.11,222.58,2.22,62,.11,.04,9.92,.11,0,.24,60.7,.01,1.05,FSR2012,155,12.15,.18,93.62,0,.11,2.93,.12,MENU 3,.2,4.9,2.16,0,.62,0,.31,Bread/Crax
27.54,.22,169.99,222.94,"Crackers>Plain",0,2.12,5.74,.53,.36,.09,174.68,1.23,38.6,.06,.1,2.33,.05,0,.37,62.32,.02,2.59,FSR2012,44.15,10.47,.07,61.52,0,.12,2.81,.09,MENU 3,.37,3.41,1.73,0,1.04,11.1,.36,Bread/Crax
3.7,.16,612,159.38,"Cheese Spread>Cheddar>Plain",0,.09,17,.98,.92,.01,167.03,9.1,42.5,.45,.02,6.55,.09,50.12,.51,3.61,.1,.43,FSR2012,274.98,6.33,.26,19.81,.5,0,.03,.26,MENU 3,.11,5.14,.79,.17,6.12,2490,.88,Spread
10,,,,"Caffeinated Gum>Cinnamon",0,,,,,.03,50,,12.5,,,,,,,,,,FSR2012,,,,, ,,,,MENU 3,,,,,,,,Candy
12,,150,,"Caffeinated Mints FSR>Peppermint",0,,,,.4,.04,30,,11,,,,4.5,,.15,,,,FSR2012,,,.06,, ,,2,,MENU 3,,,,,,,,Candy
4.99,0,257.13,3.15,"Mayonnaise>Fat Free",0,.06,.11,.13,0,.02,21.57,.03,28.35,0,.03,.85,.03,1.42,.01,1.7,0,.75,FSR2012,3.09,1.02,.11,19.02,0,0,.01,0,MENU 3,.01,.14,0,0,.28,0,.02,Condiment
.04,0,22.6,.6,"Hot Sauce>Extra Hot 4x",0,.06,.02,0,.01,0,0,,4,,,,0,0,0,0,0,,FSR2012,.68,.4,.01,4.12, ,0,.01,0,MENU 3,0,.03,,0,0,,0,Condiment
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2012,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 3,.01,.28,0,0,37.08,0,.04,Beverage
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2012,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 3,.01,.28,0,0,37.08,0,.04,Beverage
35.58,.01,15.23,6.37,"Fruits>Wet Pack>Applesauce>Carbohydrate Enhanced",0,.16,.13,.58,.06,.12,143.36,.01,128,0,.06,3.84,.15,0,.04,7.68,4.07,1.56,FSR2012,10.14,4.01,.01,84.61,0,.01,.08,0,MENU 3,.03,.26,.01,0,244.48,0,.07,Fruit
2,,,,"Chewing Gum>Xylitol",0,,,,,.01,,,3.2,,,,,,,,,,FSR2012,,,,,,,,,MENU 3,,,,,,,,FSR 2012 Accessory Packet A
1.09,0,2.35,3.42,"Coffee>Soluble>Freeze Dried",0,.05,.01,.01,0,0,5.8,0,1.7,0,.02,.05,0,0,0,.12,0,.38,FSR2012,5.46,6.46,0,57.46,0,0,.69,0,MENU 3,.01,.36,0,0,.02,0,.01,FSR 2012 Accessory Packet A
2.08,0,8.5,.5,"Creamer>Non-Dairy>Dry",0,.02,1.46,0,0,.01,21,0,4,0,0,,0,0,0,0,0,0,FSR2012,18,0,0,41,0,0,0,.02,MENU 3,0,.1,.5,0,0,0,0,FSR 2012 Accessory Packet A
0,0,1550.32,0,"Salt>Iodized",0,.01,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,FSR2012,0,.04,.65,.32,,0,0,0,MENU 3,0,0,,0,0,,0,FSR 2012 Accessory Packet A
4,0,0,0,Sugar,0,0,0,0,0,.01,15,,4,,,,,0,0,0,0,,FSR2012,0,0,0,0,,0,0,0,MENU 3,0,0,,0,0,,0,FSR 2012 Accessory Packet A
1.82,0,390.67,.85,Group Average - FSR 2012 Accessory Packet A,0,.02,.38,0,0,.01,10.2,0,3.38,0,.01,.03,0,0,0,.04,0,.13,FSR2012,1.82,2.17,.16,19.26,0,0,.23,.01,MENU 3,0,.09,.25,0,0,0,0,FSR 2012 Accessory Packet A
427.14,0,3925.27,803.7,,0,13.99,111.88,26.16,4.18,0,2980.01,32.18,945.33,0,0,172.79,12.44,224.25,2.33,518.5,0,39.78,FSR2012,1499.78,313.77,0,1889.09,0,0,50.49,0,MENU 3,2.54,82.54,11.4,0,372.38,3723.15,11.49,Total
51.21,.13,1287.5,133.75,"Filled Wrap>Mexican Style Beef",0,3.75,11.29,1.64,.33,.17,361.25,4.71,125,.24,.13,16.25,.99,25,.32,74.38,0,3.25,FSR2012,243.75,32.5,.54,392.5,.12,.21,6.35,.17,MENU 4,.4,13.74,.44,.08,0,603.8,1.75,Entree
8.83,.02,520.93,19.21,"Chicken Breast Fillets>Barbecue Sauce",0,.57,1.23,0,.23,.03,138.99,.38,113,.02,.04,16.95,0,61.02,.06,6.78,0,.9,FSR2012,235.04,30.51,.22,378.55,.06,.03,12.32,.02,MENU 4,.19,23.03,0,.2,0,289.3,.57,Entree
28,.01,22.3,6.48,"Energy Gel>Mixed Berry",0,.06,5,.82,0,.09,150,,60,,,.1,0,0,0,0,0,,FSR2012,1.33,2.26,.01,36.47,0,0,0,.08,MENU 4,0,0,,0,0,0,.01,Snack
57.8,.09,397,89,"Filled Bakery>Cinnamon Bun",0,2.25,9.6,.5,.05,.19,319,2.32,100,.12,.1,14.7,.12,.98,.27,96.5,.06,2.43,FSR2012,70.9,16.3,.17,104,0,.13,3.7,.15,MENU 4,.28,6.33,1.6,0,3.8,0,.82,Snack
16.12,.08,37.08,77.6,"Dessert Bar>Peanut Butter",0,.22,17.16,1.62,.05,.05,231.6,6.08,40,.3,.34,3.08,.22,20.24,.02,13.16,.01,8.52,FSR2012,138.8,31.76,.02,242.8,.04,.01,2.59,.26,MENU 4,.16,6.76,1.47,.07,.4,185.9,.75,Snack
35.14,.1,426.36,102,"Filled Pretzels>Cheddar",0,.42,8.36,.62,.06,.12,232.56,4.69,51,.23,.04,7.85,.3,1.25,.04,8.21,.01,1.06,FSR2012,196.35,17.9,.18,207.57,0,.02,.66,.13,MENU 4,.21,4.79,.05,0,.51,0,.43,Snack
24.94,.02,26.2,21,"First Strike Bar>Mini>Mocha",0,.75,5.06,7.17,.45,.08,150.15,1.99,35,.1,.07,1.17,.83,5.34,.25,103.95,.14,1.67,FSR2012,36.75,15.26,.01,81.03,0,.04,4.01,.08,MENU 4,.41,1.72,.81,.02,8.12,9.15,1.72,Snack
11.47,0,413.23,4.3,"Beef Snacks>Cranberry>Nuggets",0,.69,3.12,,,.04,125.99,1.32,43,.07,.02,,,33.11,,,0,.47,FSR2012,,,.17,442.9,0,.04,,.05,MENU 4,,12.98,.21,.11,0,0,,Snack
32.43,.17,369.36,172.71,"Snack Bread>Wheat",0,1.98,6.21,.26,.05,.11,201.78,1.53,57,.08,.07,19.67,.07,0,.25,58.14,.01,1.82,FSR2012,148.2,18.87,.15,80.94,0,.11,2.6,.1,MENU 4,.2,4.73,1.57,0,.57,0,.43,Bread/Crax
3.4,.16,603.5,155.13,"Cheese Spread>Cheddar with Jalapeno Peppers",0,.09,16.32,1.3,.82,.01,162.78,8.84,42.5,.44,.02,6.46,.09,24.43,.41,2.55,.33,.43,FSR2012,263.5,6.25,.25,27.29,.54,0,.04,.25,MENU 4,.12,5.19,.8,.08,19.55,2675.5,.87,Spread
10,,,,"Caffeinated Gum>Cinnamon",0,,,,,.03,50,,12.5,,,,,,,,,,FSR2012,,,,, ,,,,MENU 4,,,,,,,,Candy
10,,,,"Caffeinated Gum>Cinnamon",0,,,,,.03,50,,12.5,,,,,,,,,,FSR2012,,,,, ,,,,MENU 4,,,,,,,,Candy
.04,0,22.6,.6,"Hot Sauce>Extra Hot 4x",0,.06,.02,0,.01,0,0,,4,,,,0,0,0,0,0,,FSR2012,.68,.4,.01,4.12, ,0,.01,0,MENU 4,0,.03,,0,0,,0,Condiment
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2012,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 4,.01,.28,0,0,37.08,0,.04,Beverage
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2012,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 4,.01,.28,0,0,37.08,0,.04,Beverage
35.58,.01,15.23,6.37,"Fruits>Wet Pack>Applesauce>Carbohydrate Enhanced",0,.16,.13,.58,.06,.12,143.36,.01,128,0,.06,3.84,.15,0,.04,7.68,4.07,1.56,FSR2012,10.14,4.01,.01,84.61,0,.01,.08,0,MENU 4,.03,.26,.01,0,244.48,0,.07,Fruit
34.31,.02,9.85,17.24,"Dried Fruit>Raisins",0,.52,.39,.16,.04,.11,144.91,.19,43,.01,.06,1.29,.05,0,.03,2.58,.01,1.57,FSR2012,27.91,9.33,0,252.41,0,.03,.22,.01,MENU 4,.01,1.33,0,0,.43,0,.26,Fruit
2,,,,"Chewing Gum>Xylitol",0,,,,,.01,,,3.2,,,,,,,,,,FSR2012,,,,,,,,,MENU 4,,,,,,,,FSR 2012 Accessory Packet A
1.09,0,2.35,3.42,"Coffee>Soluble>Freeze Dried",0,.05,.01,.01,0,0,5.8,0,1.7,0,.02,.05,0,0,0,.12,0,.38,FSR2012,5.46,6.46,0,57.46,0,0,.69,0,MENU 4,.01,.36,0,0,.02,0,.01,FSR 2012 Accessory Packet A
2.08,0,8.5,.5,"Creamer>Non-Dairy>Dry",0,.02,1.46,0,0,.01,21,0,4,0,0,,0,0,0,0,0,0,FSR2012,18,0,0,41,0,0,0,.02,MENU 4,0,.1,.5,0,0,0,0,FSR 2012 Accessory Packet A
0,0,1550.32,0,"Salt>Iodized",0,.01,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,FSR2012,0,.04,.65,.32,,0,0,0,MENU 4,0,0,,0,0,,0,FSR 2012 Accessory Packet A
4,0,0,0,Sugar,0,0,0,0,0,.01,15,,4,,,,,0,0,0,0,,FSR2012,0,0,0,0,,0,0,0,MENU 4,0,0,,0,0,,0,FSR 2012 Accessory Packet A
1.82,0,390.67,.85,Group Average - FSR 2012 Accessory Packet A,0,.02,.38,0,0,.01,10.2,0,3.38,0,.01,.03,0,0,0,.04,0,.13,FSR2012,1.82,2.17,.16,19.26,0,0,.23,.01,MENU 4,0,.09,.25,0,0,0,0,FSR 2012 Accessory Packet A
446.17,0,4717.59,819.88,,0,11.78,84.37,15.09,2.15,0,2814.73,32.06,963.88,0,0,94.21,2.94,171.37,1.71,379.61,0,24.75,FSR2012,1380.91,192.3,0,2363.85,0,0,32.83,0,MENU 4,2.03,81.54,7.21,0,352.02,3763.65,7.76,Total
44.42,.07,650.75,65.47,"Sandwich>Shelf Stable>Honey Barbecue Chicken",0,1.09,8.23,0,.14,.15,293.63,2.47,99.2,.12,.09,14.88,0,11.9,.2,29.07,0,2.28,FSR2012,131.94,27.78,.27,268.83,.12,.06,5.08,.13,MENU 5,.16,10.45,1.72,.04,0,614,.89,Entree
4.83,.01,710.77,11.3,"Salmon>Pink>Mango Chipotle",0,.34,2.68,0,.21,.02,123.17,.53,113,.03,.04,20.34,2.8,41.81,.09,14.01,0,1.02,FSR2012,203.4,25.99,.3,309.62,.02,.02,7.81,.04,MENU 5,.15,19.84,.05,.14,0,99.2,.57,Entree
52.27,.06,305.91,60.89,"Filled Bakery>Filled French Toast",0,2.53,10.1,.62,.06,.17,322.74,3.55,99,.18,.08,16.14,.12,0,.27,67.72,.02,2,FSR2012,58.91,16.04,.13,76.13,0,.14,2.83,.16,MENU 5,.28,6.83,1.83,0,.99,0,.7,Snack
