CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
26.54,.03,104.92,27.95,"Ranger Bar>Banana Nut",0,.12,.82,10.75,2.17,.06,.09,214.14,2.61,43,.13,.04,4.3,.04,.02,7.83,.11,22.79,0,.9,MRE32,72.24,16.34,.04,67.08,0,.05,1.13,.17,MENU Groups,.09,2.84,1.7,.03,.19,0,.37,"MRE 32>Ranger Bar"
27.78,.03,95.46,29.2,"Ranger Bar>Caramel Apple",0,.2,1.61,9.03,.92,.1,.09,197.37,2.58,43,.13,.04,2.84,1.3,.27,10.5,.14,61.42,.01,.99,MRE32,44.82,11.35,.04,61.06,.01,.09,1.26,.14,MENU Groups,.16,2.11,2.38,.04,.43,60.2,.29,"MRE 32>Ranger Bar"
27.05,.03,73.53,34.79,"Ranger Bar>Chocolate Covered Chocolate Chip",0,.2,1.97,10.75,.43,.05,.09,210.27,5.07,43,.25,.06,6.67,1.3,.13,10.5,.09,15.27,.01,1.41,MRE32,81.7,25.93,.03,115.24,0,.11,.82,.17,MENU Groups,.09,2.64,1.58,.04,.43,0,.46,"MRE 32>Ranger Bar"
29.03,.03,89.01,33.15,"Ranger Bar>Cran-apple",0,,.87,7.61,.56,.02,.1,190.49,1.66,43,.08,.05,8.94,,.16,10,.1,14.58,.3,1.31,MRE32,70.09,13.72,.04,61.06,0,.05,1.05,.12,MENU Groups,.09,2.27,1.98,.03,17.72,0,.27,"MRE 32>Ranger Bar"
27.6,.03,90.73,31.27,"Group Average - MRE 32>Ranger Bar",0,.16,1.32,9.54,1.02,.06,.09,203.07,2.98,43,.15,.05,5.69,.67,.14,9.58,.11,28.51,.08,1.15,MRE32,67.21,16.83,.04,76.11,0,.07,1.07,.15,MENU Groups,.11,2.46,1.91,.03,4.69,15.05,.35,"MRE 32>Ranger Bar"
17.28,0,2.4,2.33,"Group Average - MRE 32>Jam/Jelly",0,0,.05,.01,0,0,.06,68.51,0,28,0,.01,.06,0,0,0,0,0,.03,.25,MRE32,.32,.03,0,11.8,0,0,0,0,MENU Groups,0,.08,0,0,1.8,0,0,"MRE 32>Jam/Jelly"
49.9,0,103.95,3.84,"Licorice Bite Size>Cherry",0,,.23,1.7,.32,.01,.17,222.39,.77,63,.04,.03,12.29,,.19,0,.03,3.78,.01,.78,MRE32,19.34,5.71,.04,35.85,0,.01,.24,.03,MENU Groups,.02,1.95,0,0,.63,0,.17,"MRE 32>Candy I"
30.56,.04,104,44.4,"Toffee>Chocolate Flavored>Cube",0,4.36,2.16,3.08,.06,.01,.1,157.2,1.81,40,.09,.07,1.88,,.16,2.7,.02,2.4,.01,1.86,MRE32,56.4,20.72,.04,107.2,.01,.12,.12,.05,MENU Groups,.07,2,.06,.01,.4,51.6,.48,"MRE 32>Candy I"
23.16,.01,16.58,12.68,"Toffee>Chocolate Flavored>Roll",0,,.38,2.63,.36,.01,.08,116.76,.55,28,.03,.02,.84,,.03,0,.01,1.68,0,.45,MRE32,19.57,6.22,.01,38.92,0,.02,.04,.04,MENU Groups,.03,.32,.76,0,.28,0,.09,"MRE 32>Candy I"
34.54,.02,74.84,20.31,"Group Average - MRE 32>Candy I",0,4.36,.92,2.47,.25,.01,.12,165.45,1.04,43.67,.05,.04,5,0,.13,.9,.02,2.62,.01,1.03,MRE32,31.77,10.88,.03,60.66,0,.05,.13,.04,MENU Groups,.04,1.42,.27,0,.44,17.2,.25,"MRE 32>Candy I"
