CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
6.27,.01,786.64,6.59,Group Average - FSR 2008 Accessory Packet C ,0,.02,.03,.08,0,.02,33.83,.01,8.07,0,0,.26,.01,0,0,.51,.33,.09,FSR2008,2.16,.2,.33,1.01,0,0,0,0,MENU 1,0,.03,0,0,19.55,0,0,FSR 2008 Accessory Packet C 
16.81,.01,22.95,13.18,"Apple Cider>Spiced",0,.03,.07,.08,0,.06,67.66,.02,17,0,.01,.51,.02,0,0,1.02,.65,.17,FSR2008,4.32,.36,.01,1.7,0,0,.01,0,MENU 1,0,.07,0,0,39.1,0,.01,FSR 2008 Accessory Packet C 
2,,,,"Chewing Gum>Xylitol",0,,,,,.01,,,3.2,,,,,,,,,,FSR2008,,,,,,,,,MENU 1,,,,,,,,FSR 2008 Accessory Packet C 
0,0,1550.32,0,"Salt>Iodized",0,.01,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,FSR2008,0,.04,.65,.32,,0,0,0,MENU 1,0,0,,0,0,,0,FSR 2008 Accessory Packet C 
6.27,.01,786.64,6.59,Group Average - FSR 2008 Accessory Packet C ,0,.02,.03,.08,0,.02,33.83,.01,8.07,0,0,.26,.01,0,0,.51,.33,.09,FSR2008,2.16,.2,.33,1.01,0,0,0,0,MENU 1,0,.03,0,0,19.55,0,0,FSR 2008 Accessory Packet C 
388.08,0,5584.42,731.48,,0,14.89,116.28,25.92,2.46,0,2884.37,39.15,829.14,0,0,108.11,6.21,132.68,2.15,585.8,0,33.26,FSR2008,1237.09,276.46,0,1713.8,0,0,32.18,0,MENU 1,2.47,78.98,11.24,0,403.19,3200.85,13.12,Total
38.9,.09,727,88.4,"Sandwich>Shelf Stable>Italian Style",0,2.14,13.8,1.06,.14,.13,319,4.25,100,.21,.08,20.4,.2,15,.21,51.9,.02,2.11,FSR2008,121,26.3,.3,244,.01,.12,3.51,.21,MENU 2,.23,11.3,1.91,.05,1,59,1.35,Entree
1.96,.01,740.88,9.9,"Chicken Chunks>White",0,.69,1.81,1.12,.33,.01,192.67,.51,196,.03,.08,40.96,.24,87.5,.03,42.73,.03,1.96,FSR2008,631.12,49.98,.31,591.92,0,.04,22.74,.03,MENU 2,.29,42.92,.01,.29,1.96,0,1.35,Entree
25.55,.01,37.8,14.84,"First Strike Bar>Mini>Apple-Cinnamon",0,.36,4.83,8.46,.49,.09,150.15,1.04,35,.05,.05,1.05,1.02,,.21,132.65,.28,1.16,FSR2008,,11.31,.02,63.35,.01,.02,2.77,.07,MENU 2,.31,1.93,1.04,,16.63,42.8,1.53,Snack
21.6,.06,23.52,58,"Dessert Bar>Mocha",0,1.17,14.36,1.1,.02,.07,225.2,7.08,40,.35,.29,2.24,.24,20.44,.02,4,.01,7.36,FSR2008,98.8,24.96,.01,264.8,.04,.06,.29,.22,MENU 2,.09,2.76,1.5,.07,.4,220.2,.56,Snack
